시작시각(년월일시분),세션,지속시간,프로젝트
2024-04-03 06:02,집중,25,디자인 작업
2024-04-03 07:02,휴식,5,디자인 작업
2024-04-03 08:16,집중,25,포트폴리오 작업
2024-04-03 08:41,휴식,5,포트폴리오 작업
2024-04-03 09:37,집중,45,리액트 프로젝트
2024-04-03 09:37,집중,15,자바스크립트 공부
2024-04-03 09:58,집중,15,블로그 글쓰기
2024-04-03 10:13,휴식,5,블로그 글쓰기
2024-04-03 10:52,집중,15,리액트 프로젝트
2024-04-03 10:57,집중,25,영어 공부
2024-04-03 11:10,집중,15,포트폴리오 작업
2024-05-01 11:25,긴휴식,15,포트폴리오 작업
2024-05-01 11:51,집중,25,코드 리팩토링
2024-05-01 12:16,휴식,5,코드 리팩토링
2024-05-01 12:39,집중,25,알고리즘 연습
2024-05-01 13:04,휴식,5,알고리즘 연습
2024-05-01 13:19,집중,30,취업 준비
2024-05-01 13:49,휴식,5,취업 준비
2024-05-01 14:31,집중,30,자바스크립트 공부
2024-05-01 14:53,집중,30,알고리즘 연습
2024-05-01 15:23,휴식,5,알고리즘 연습
2024-05-01 16:16,집중,15,리액트 프로젝트
2024-05-01 16:18,집중,25,자바스크립트 공부
2024-05-02 01:34,집중,25,코드 리팩토링
2024-05-02 01:59,휴식,5,코드 리팩토링
2024-05-02 09:40,집중,45,영어 공부
2024-05-02 10:15,집중,45,블로그 글쓰기
2024-05-02 10:15,집중,25,디자인 작업
2024-05-02 10:50,집중,15,영어 공부
2024-05-02 11:05,휴식,5,영어 공부
2024-05-02 11:43,집중,25,자바스크립트 공부
2024-05-02 12:08,휴식,5,자바스크립트 공부
2024-05-02 12:51,집중,25,코드 리팩토링
2024-05-02 13:16,휴식,5,코드 리팩토링
2024-05-02 14:55,집중,45,디자인 작업
2024-05-02 15:08,집중,30,블로그 글쓰기
2024-05-02 15:12,집중,15,알고리즘 연습
2024-05-02 15:24,집중,25,블로그 글쓰기
2024-05-02 15:33,집중,45,블로그 글쓰기
2024-05-02 16:18,긴휴식,15,블로그 글쓰기
2024-05-02 17:46,집중,45,블로그 글쓰기
2024-05-02 18:05,집중,25,포트폴리오 작업
2024-05-02 18:30,휴식,5,포트폴리오 작업
2024-05-02 18:47,집중,30,알고리즘 연습
2024-05-03 02:49,집중,25,포트폴리오 작업
2024-05-03 03:49,휴식,5,포트폴리오 작업
2024-05-03 08:43,집중,15,영어 공부
2024-05-03 08:52,집중,30,블로그 글쓰기
2024-05-03 09:08,집중,30,자바스크립트 공부
2024-05-03 09:38,긴휴식,15,자바스크립트 공부
2024-05-03 12:58,집중,15,알고리즘 연습
2024-05-03 13:13,휴식,5,알고리즘 연습
2024-05-03 14:46,집중,25,자바스크립트 공부
2024-05-03 15:46,휴식,5,자바스크립트 공부
2024-05-03 15:58,집중,30,자바스크립트 공부
2024-05-03 16:16,집중,30,디자인 작업
2024-05-03 16:46,긴휴식,15,디자인 작업
2024-05-03 17:08,집중,45,리액트 프로젝트
2024-05-03 17:09,집중,45,블로그 글쓰기
2024-05-03 17:54,휴식,5,블로그 글쓰기
2024-05-03 18:06,집중,30,알고리즘 연습
2024-05-03 18:36,휴식,5,알고리즘 연습
2024-05-03 19:57,집중,25,블로그 글쓰기
2024-05-04 09:46,집중,25,블로그 글쓰기
2024-05-04 10:51,집중,30,포트폴리오 작업
2024-05-04 11:12,집중,25,블로그 글쓰기
2024-05-04 12:12,휴식,5,블로그 글쓰기
2024-05-04 13:05,집중,45,포트폴리오 작업
2024-05-04 13:50,긴휴식,15,포트폴리오 작업
2024-05-04 17:22,집중,30,자바스크립트 공부
2024-05-04 17:52,휴식,5,자바스크립트 공부
2024-05-04 20:12,집중,30,취업 준비
2024-05-04 20:42,휴식,5,취업 준비
2024-05-04 21:13,집중,15,포트폴리오 작업
2024-05-04 21:28,휴식,5,포트폴리오 작업
2024-05-04 23:17,집중,25,자바스크립트 공부
2024-05-05 09:50,집중,25,코드 리팩토링
2024-05-05 10:53,집중,15,블로그 글쓰기
2024-05-05 11:08,휴식,5,블로그 글쓰기
2024-05-05 11:46,집중,25,코드 리팩토링
2024-05-05 12:46,휴식,5,코드 리팩토링
2024-05-05 14:52,집중,45,블로그 글쓰기
2024-05-05 15:37,긴휴식,15,블로그 글쓰기
2024-05-05 17:08,집중,25,영어 공부
2024-05-05 17:42,집중,15,블로그 글쓰기
2024-05-06 06:24,집중,25,디자인 작업
2024-05-06 07:24,휴식,5,디자인 작업
2024-05-06 08:21,집중,25,포트폴리오 작업
2024-05-06 08:46,휴식,5,포트폴리오 작업
2024-05-06 09:27,집중,30,리액트 프로젝트
2024-05-06 10:02,집중,45,자바스크립트 공부
2024-05-06 10:26,집중,30,자바스크립트 공부
2024-05-06 10:56,휴식,5,자바스크립트 공부
2024-05-06 11:35,집중,25,포트폴리오 작업
2024-05-06 12:00,휴식,5,포트폴리오 작업
2024-05-06 15:41,집중,30,자바스크립트 공부
2024-05-06 15:41,집중,25,리액트 프로젝트
2024-05-06 16:24,집중,45,포트폴리오 작업
2024-05-06 17:09,휴식,5,포트폴리오 작업
2024-05-06 17:40,집중,25,리액트 프로젝트
2024-05-06 18:05,휴식,5,리액트 프로젝트
2024-05-06 19:00,집중,15,리액트 프로젝트
2024-05-06 19:15,휴식,5,리액트 프로젝트
2024-05-06 19:53,집중,15,디자인 작업
2024-05-06 20:08,긴휴식,15,디자인 작업
2024-05-06 20:24,집중,25,코드 리팩토링
2024-05-06 20:25,집중,45,리액트 프로젝트
2024-05-07 06:18,집중,15,자바스크립트 공부
2024-05-07 06:33,휴식,5,자바스크립트 공부
2024-05-07 09:19,집중,15,코드 리팩토링
2024-05-07 09:29,집중,45,블로그 글쓰기
2024-05-07 09:41,집중,25,디자인 작업
2024-05-07 10:21,집중,25,자바스크립트 공부
2024-05-07 10:33,집중,30,디자인 작업
2024-05-07 10:35,집중,25,디자인 작업
2024-05-07 11:20,집중,45,알고리즘 연습
2024-05-07 12:05,긴휴식,15,알고리즘 연습
2024-05-07 14:00,집중,30,블로그 글쓰기
2024-05-07 14:30,휴식,5,블로그 글쓰기
2024-05-07 15:28,집중,25,취업 준비
2024-05-07 15:37,집중,15,알고리즘 연습
2024-05-07 15:52,휴식,5,알고리즘 연습
2024-05-07 17:04,집중,30,블로그 글쓰기
2024-05-07 17:34,긴휴식,15,블로그 글쓰기
2024-05-07 19:01,집중,25,취업 준비
2024-05-07 19:56,집중,30,취업 준비
2024-05-07 20:26,휴식,5,취업 준비
2024-05-07 20:37,집중,30,영어 공부
2024-05-08 06:16,집중,45,디자인 작업
2024-05-08 07:01,휴식,5,디자인 작업
2024-05-08 09:20,집중,25,포트폴리오 작업
2024-05-08 09:50,집중,45,코드 리팩토링
2024-05-08 10:31,집중,25,포트폴리오 작업
2024-05-08 10:45,집중,25,취업 준비
2024-05-08 11:10,휴식,5,취업 준비
2024-05-08 13:36,집중,45,디자인 작업
2024-05-08 14:21,휴식,5,디자인 작업
2024-05-08 14:33,집중,15,취업 준비
2024-05-08 14:48,휴식,5,취업 준비
2024-05-08 16:07,집중,25,영어 공부
2024-05-08 16:33,집중,15,코드 리팩토링
2024-05-08 16:43,집중,25,코드 리팩토링
2024-05-08 17:21,집중,15,포트폴리오 작업
2024-05-08 17:32,집중,25,포트폴리오 작업
2024-05-08 18:21,집중,25,코드 리팩토링
2024-05-08 18:46,휴식,5,코드 리팩토링
2024-05-08 21:22,집중,30,포트폴리오 작업
2024-05-08 21:32,집중,30,취업 준비
2024-05-09 05:35,집중,45,취업 준비
2024-05-09 06:20,휴식,5,취업 준비
2024-05-09 09:57,집중,30,영어 공부
2024-05-09 10:27,휴식,5,영어 공부
2024-05-09 10:46,집중,45,디자인 작업
2024-05-09 10:49,집중,45,블로그 글쓰기
2024-05-09 11:31,집중,25,리액트 프로젝트
2024-05-09 11:46,집중,25,영어 공부
2024-05-09 12:11,휴식,5,영어 공부
2024-05-09 14:54,집중,15,자바스크립트 공부
2024-05-09 15:09,휴식,5,자바스크립트 공부
2024-05-09 16:18,집중,25,코드 리팩토링
2024-05-09 17:18,긴휴식,15,코드 리팩토링
2024-05-09 18:58,집중,45,블로그 글쓰기
2024-05-09 19:19,집중,30,영어 공부
2024-05-09 19:40,집중,25,코드 리팩토링
2024-05-09 19:44,집중,30,자바스크립트 공부
2024-05-09 20:14,긴휴식,15,자바스크립트 공부
2024-05-09 21:15,집중,25,알고리즘 연습
2024-05-09 21:22,집중,45,포트폴리오 작업
2024-05-09 22:07,휴식,5,포트폴리오 작업
2024-05-09 23:33,집중,15,자바스크립트 공부
2024-05-10 09:45,집중,30,블로그 글쓰기
2024-05-10 10:15,휴식,5,블로그 글쓰기
2024-05-10 10:23,집중,45,블로그 글쓰기
2024-05-10 11:08,휴식,5,블로그 글쓰기
2024-05-10 11:40,집중,25,자바스크립트 공부
2024-05-10 12:08,집중,25,블로그 글쓰기
2024-05-10 12:27,집중,30,블로그 글쓰기
2024-05-10 12:57,휴식,5,블로그 글쓰기
2024-05-10 13:25,집중,45,리액트 프로젝트
2024-05-10 13:38,집중,25,리액트 프로젝트
2024-05-10 14:38,휴식,5,리액트 프로젝트
2024-05-10 15:08,집중,15,포트폴리오 작업
2024-05-10 15:20,집중,25,취업 준비
2024-05-10 15:25,집중,30,취업 준비
